カテゴリ,ページ名,URL,ステータス,担当者,機能,最終更新日
メイン,トップページ,index.html,完了,frontend,サービス一覧・カテゴリフィルタ・カート連携,2025-01-27
メイン,レポート,report.html,完了,frontend,動的レポート一覧・ページネーション機能,2025-01-27
メイン,マイページ,mypage.html,完了,frontend,ユーザー情報管理・清掃予定表示,2025-01-27
メイン,レポート詳細,reports/[id].html,完了,frontend,動的レポート詳細表示,2025-01-27
認証,ログイン,signin.html,完了,frontend,ユーザーログイン,2025-01-27
認証,新規登録,signup.html,完了,frontend,ユーザー登録,2025-01-27
認証,新規登録2,signup2.html,完了,frontend,追加情報入力,2025-01-27
認証,新規登録3,signup3.html,完了,frontend,最終確認,2025-01-27
認証,パスワードリセット,reset-password.html,完了,frontend,パスワード再設定,2025-01-27
登録,個人登録,registration/personal.html,完了,frontend,個人情報登録,2025-01-27
登録,個人登録2,registration/personal2.html,完了,frontend,追加情報入力,2025-01-27
登録,法人登録,registration/corporation.html,完了,frontend,法人情報登録,2025-01-27
登録,法人登録2,registration/corporation2.html,完了,frontend,追加情報入力,2025-01-27
登録,法人登録3,registration/corporation3.html,完了,frontend,最終確認,2025-01-27
登録,登録完了,registration/complete.html,完了,frontend,完了通知・カート連携,2025-01-27
サポート,お問い合わせ完了,inquiry/complete.html,完了,frontend,完了通知,2025-01-27
マイページ,個人情報,mypage/info.html,完了,frontend,情報編集・更新,2025-01-27
マイページ,お問い合わせ,mypage/inquiry.html,完了,frontend,サポート問い合わせ,2025-01-27
管理,サイトマップ,admin/sitemap.html,完了,frontend,サイトマップ表示,2025-01-27
Eコマース,カート,cart.html,完了,frontend,ショッピングカート機能,2025-01-27
Eコマース,チェックアウト,checkout.html,完了,frontend,決済・注文処理,2025-01-27
Eコマース,注文確認,order-confirm.html,完了,frontend,注文内容確認,2025-01-27
Eコマース,注文完了,order-complete.html,完了,frontend,注文完了通知,2025-01-27
